United_States_postal_abbreviations	17400.21276502926
United_States	13078.758142261671
Geographic_coordinate_system	11721.388760989934
Biography	9046.94404539693
2008	7074.642536194528
2007	6800.352714147609
United_Kingdom	4910.857511340101
Music_genre	4873.710868083087
France	4742.3599100220745
Record_label	4693.041866616651
Biological_classification	4504.695513826705
England	4235.0320411061075
Canada	3690.8855429516143
Personal_name	3576.978399648573
2006	3575.6745346144417
Internet_Movie_Database	3463.283292882243
India	3106.5889721148483
Binomial_nomenclature	2900.531729940005
Germany	2813.7080608754136
Australia	2801.5539246554304
2005	2753.2105256014147
Japan	2738.586356127903
Studio_album	2653.12645545849
Village	2443.744194498363
Record_producer	2390.285911817774
Football_(soccer)	2309.2199488266147
Politician	2297.477993147138
Romania	2223.151828184524
English_language	2213.6348292720936
Time_zone	1995.8974782746225
Departments_of_France	1989.238540765988
Wiktionary	1986.601595665928
Geocode	1957.2310712914523
UN/LOCODE	1927.768567246807
2004	1923.7717011191733
Television	1887.5449027794994
Italy	1876.517922617798
Europe	1876.4133549775602
Album	1862.500023700961
Conservation_status	1822.3255838594148
Website	1786.369812909181
Animal	1755.4690932603605
London	1750.426835124795
IUCN_Red_List	1693.0815483599783
Wikimedia_Commons	1691.292086838541
World_War_II	1688.0969511970327
Poland	1660.9849679859228
2003	1612.595049727968
Population_density	1594.3872097107617
Public_domain	1524.3655342422073
Plural	1508.0360263940445
New_York_City	1483.316352055897
Actor	1430.0997921719813
Digital_object_identifier	1394.3430354665102
California	1390.8935481404212
Spain	1382.9828072755981
2001	1372.8918514117458
Tributary	1371.3939331565095
Elevation	1359.6035580473883
Norway	1354.8142226550592
2002	1332.394820313147
Russia	1293.3954671557835
China	1290.992860240601
Film	1284.220238796574
Sweden	1276.599736144136
Scotland	1274.6965941422104
Allmusic	1261.3854882477567
Plant	1260.5866082348361
Area	1241.8350152014577
Writer	1210.6309160835053
New_Zealand	1205.546829565034
Brazil	1200.9837519822145
New_York	1186.1449798531778
School	1176.2465753102529
2000	1164.0294822945573
Animalia	1149.7984904384543
Netherlands	1113.5228951761096
1999	1088.6594273145822
Chordata	1086.292037218777
Daylight_saving_time	1085.6127967938105
Building	1036.0613296165006
Ireland	985.673909204757
Scientific_name	978.8460172990915
1998	972.760044287385
Flowering_plant	960.4407782447164
Metre	958.1123204945981
Mexico	937.8782628148965
Countries_of_the_world	894.2954145797966
Census	854.3321100574365
Corporation	847.1338759670075
National_Register_of_Historic_Places	836.4937043163424
South_Africa	824.2863376957088
Sport	819.5140358876656
Association_football	798.9895361593352
1996	793.7349577979235
Arthropod	786.1504629130352
Pakistan	774.1761400714591
Ontario	771.739443594112
Company_(law)	748.012394967703
County_seat	708.9006252961009
Florida	700.3901128551292
Novel	682.4832452787758
1993	667.3926208704123
Finland	665.8043747453979
1979	646.2085501355182
Town	644.292872640951
Argentina	643.6029682374108
Denmark	642.0808091934346
Painting	641.5882878676507
Orbital_period	607.093611909396
